dealer_id,sale_date,parts_category,units_sold,revenue_inr
DLR-0001,2020-02-21,Body Parts,135,449507.12
DLR-0001,2021-04-02,Electrical,387,354260.35
DLR-0001,2020-07-28,Brakes,312,472153.28
DLR-0001,2022-05-14,Engine Parts,25,603454.48
DLR-0001,2020-07-10,Suspension,129,339876.99
DLR-0001,2022-10-31,Engine Parts,297,339879.46
DLR-0001,2021-02-11,Transmission,122,611881.92
DLR-0001,2022-07-08,Body Parts,424,490115.21
DLR-0001,2024-11-15,Engine Parts,398,304578.84
DLR-0001,2024-07-08,Electrical,367,456384.01
DLR-0001,2022-05-15,Filters & Fluids,152,305487.35
DLR-0001,2020-11-14,Suspension,500,305140.54
DLR-0001,2024-04-12,Filters & Fluids,62,411294.34
DLR-0001,2020-07-08,Transmission,59,88007.96
DLR-0001,2022-01-05,Filters & Fluids,319,116262.33
DLR-0001,2021-06-25,Engine Parts,383,290656.87
DLR-0001,2022-07-29,Brakes,482,223075.33
DLR-0001,2022-02-14,Brakes,292,422137.1
DLR-0001,2021-08-23,Filters & Fluids,305,238796.39
DLR-0001,2021-01-28,Brakes,33,163154.44
DLR-0001,2023-09-16,Suspension,405,594847.32
DLR-0002,2020-06-12,Suspension,453,341133.55
DLR-0002,2020-07-25,Transmission,152,385129.23
DLR-0002,2022-07-17,Filters & Fluids,93,161287.77
DLR-0002,2022-01-28,Filters & Fluids,117,293342.59
DLR-0002,2023-10-04,Body Parts,369,391638.39
DLR-0002,2023-10-31,Brakes,321,202350.96
DLR-0002,2023-07-24,Electrical,283,431354.7
DLR-0002,2024-02-02,Suspension,93,284904.2
DLR-0002,2022-08-04,Transmission,148,331245.94
DLR-0002,2023-08-03,Suspension,360,284744.01
DLR-0002,2021-10-26,Engine Parts,127,652841.73
DLR-0002,2024-08-10,Engine Parts,422,372975.42
DLR-0002,2021-10-08,Transmission,147,216343.36
DLR-0002,2020-05-15,Suspension,477,498381.74
DLR-0002,2023-03-07,Filters & Fluids,118,191873.45
DLR-0002,2023-09-04,Cooling System,212,406329.54
DLR-0002,2024-12-16,Cooling System,83,81049.48
DLR-0002,2021-06-26,Electrical,136,175772.09
DLR-0002,2024-03-05,Body Parts,392,404529.19
DLR-0002,2023-04-12,Transmission,469,485769.99
DLR-0002,2023-04-10,Transmission,195,400705.24
DLR-0002,2021-03-25,Electrical,270,357652.76
DLR-0002,2022-10-07,Brakes,396,329834.45
DLR-0002,2020-04-06,Brakes,88,153221.7
DLR-0003,2024-06-10,Transmission,315,587451.41
DLR-0003,2020-05-10,Transmission,205,672989.21
DLR-0003,2023-05-05,Cooling System,280,1173850.33
DLR-0003,2021-05-29,Engine Parts,358,938394.04
DLR-0003,2024-01-16,Brakes,359,243196.75
DLR-0003,2024-12-17,Body Parts,403,931947.71
DLR-0003,2023-08-05,Filters & Fluids,67,697922.85
DLR-0003,2021-08-24,Transmission,90,601615.74
DLR-0003,2022-07-18,Engine Parts,498,1026853.18
DLR-0003,2024-01-18,Body Parts,266,1165229.84
DLR-0003,2024-04-09,Electrical,269,1132322.44
DLR-0003,2020-08-05,Body Parts,440,548058.22
DLR-0003,2023-08-01,Suspension,88,722959.92
DLR-0003,2022-02-04,Electrical,286,934316.93
DLR-0003,2024-05-13,Engine Parts,316,1146929.89
DLR-0003,2021-10-25,Cooling System,19,666872.5
DLR-0003,2020-08-17,Filters & Fluids,459,763732.54
DLR-0003,2024-08-30,Body Parts,132,459909.46
DLR-0003,2020-04-28,Suspension,459,430251.81
DLR-0003,2023-03-07,Brakes,53,1093133.52
DLR-0003,2024-02-07,Cooling System,427,1272559.21
DLR-0003,2020-05-21,Electrical,75,801236.66
DLR-0004,2023-01-30,Electrical,145,1500000.0
DLR-0004,2022-12-16,Transmission,118,1500000.0
DLR-0004,2023-01-09,Suspension,375,1112928.15
DLR-0004,2021-09-30,Transmission,353,1500000.0
DLR-0004,2023-08-23,Filters & Fluids,234,1500000.0
DLR-0004,2022-11-25,Cooling System,71,1478504.38
DLR-0004,2021-05-22,Suspension,42,1500000.0
DLR-0004,2021-11-23,Engine Parts,311,50000.0
DLR-0004,2023-02-08,Suspension,311,1500000.0
DLR-0004,2021-03-27,Engine Parts,46,1500000.0
DLR-0004,2023-12-20,Engine Parts,127,1320595.59
DLR-0004,2020-05-18,Engine Parts,450,1500000.0
DLR-0004,2021-11-07,Brakes,273,307458.65
DLR-0004,2021-05-02,Body Parts,352,1368196.87
DLR-0004,2022-09-21,Suspension,286,1500000.0
DLR-0004,2020-09-27,Cooling System,134,1500000.0
DLR-0004,2024-05-25,Cooling System,423,1189037.87
DLR-0004,2022-04-13,Suspension,58,1014903.84
DLR-0004,2020-07-17,Transmission,191,1198945.77
DLR-0004,2022-05-17,Transmission,249,1500000.0
DLR-0004,2024-11-04,Engine Parts,354,1500000.0
DLR-0004,2023-08-31,Brakes,41,1182143.88
DLR-0004,2022-04-04,Filters & Fluids,419,1500000.0
DLR-0004,2024-10-30,Brakes,137,1500000.0
DLR-0004,2021-01-27,Suspension,284,1500000.0
DLR-0004,2022-07-07,Electrical,226,1078768.14
DLR-0004,2021-01-10,Body Parts,246,1303402.71
DLR-0005,2024-11-25,Brakes,236,505894.04
DLR-0005,2024-07-12,Brakes,35,248756.41
DLR-0005,2023-08-28,Engine Parts,57,671068.87
DLR-0005,2024-03-23,Suspension,95,662653.27
DLR-0005,2022-04-12,Cooling System,256,601227.23
