id,name,type,city,state,address,pin_code,contact_person,phone,latitude,longitude,active,coord_validation_status,drop_reason
MW-0001,Ranganathan-Mitra Mother Warehouse (MW-0001),Mother Warehouse,Mumbai,Maharashtra,"56, Dhar Zila, Burhanpur-604981",192330,Ekavir Narasimhan,5491292288,19.098452,72.920746,True,OK,
MW-0002,Sarma-Shankar Mother Warehouse (MW-0002),Mother Warehouse,Delhi,Delhi,"H.No. 769, Jain Path, Amravati-366553",326116,Oeshi Krishnan,4746309767,28.636907,77.213953,True,OK,
MW-0003,Lal-Nayak Mother Warehouse (MW-0003),Mother Warehouse,Bengaluru,Karnataka,"53, Jaggi Path, Chandigarh 989376",606860,Bina Sarraf,915405037922,12.964947,77.603948,True,OK,
MW-0005,Pandey Ltd Mother Warehouse (MW-0005),Mother Warehouse,Hyderabad,Telangana,"H.No. 216, Joshi Ganj, Gandhidham-551728",401985,Oviya Grewal,7116344884,17.366535,78.454001,True,OK,
MW-0006,"Mukhopadhyay, Chakraborty and Mahal Mother Warehouse (MW-0006)",Mother Warehouse,Kolkata,West Bengal,"15, Suresh Circle, Hajipur-527190",155897,Vivaan Bedi,9540637213,22.52131,88.329342,False,OK,
MW-0007,Mutti-Bora Mother Warehouse (MW-0007),Mother Warehouse,Pune,Maharashtra,"43/63, Rastogi Path, Latur-735894",523928,Ridhi Tailor,9642227684,18.5371,73.804434,True,OK,
MW-0008,Kala LLC Mother Warehouse (MW-0008),Mother Warehouse,Ahmedabad,Gujarat,"37/576, Dora Street, Kolkata 994086",807095,Aashi Gera,1399953344,22.976203,72.520155,True,OK,
MW-0009,"Sawhney, Bedi and Modi Mother Warehouse (MW-0009)",Mother Warehouse,Surat,Gujarat,"52, Narayanan Path, Malda-774374",692085,Lohit Sule,910324894120,21.228337,72.876516,True,OK,
MW-0010,Sethi-Oza Mother Warehouse (MW-0010),Mother Warehouse,Jaipur,Rajasthan,"H.No. 092, Khurana Chowk, Haldia 177783",741310,Utkarsh Bera,1577035904,26.856781,75.866819,True,OK,
MW-0011,"Acharya, Magar and Morar Mother Warehouse (MW-0011)",Mother Warehouse,Lucknow,Uttar Pradesh,"H.No. 655, Gokhale Chowk, Tiruppur-885363",678570,Samaksh Prakash,919444822106,26.837479,80.924945,True,OK,
MW-0012,Toor-Joshi Mother Warehouse (MW-0012),Mother Warehouse,Nagpur,Maharashtra,"139, Chakrabarti Zila, Gwalior-255370",821165,Leela Chad,5779014710,21.174857,79.113586,False,OK,
MW-0013,Srivastava Ltd Mother Warehouse (MW-0013),Mother Warehouse,Indore,Madhya Pradesh,"277, Cherian Ganj, Alappuzha 839397",472664,Ekanta Sodhi,6310891698,22.668253,75.848941,False,OK,
MW-0014,Swamy-Narasimhan Mother Warehouse (MW-0014),Mother Warehouse,Bhopal,Madhya Pradesh,"H.No. 835, Bala Chowk, Salem 642873",238780,Omaja Nadig,6502102823,23.263849,77.352614,True,OK,
MW-0015,Pandit and Sons Mother Warehouse (MW-0015),Mother Warehouse,Patna,Bihar,"95/966, Manne Zila, Sonipat-416389",363697,Panini Mandal,910930628329,25.656136,85.179916,True,OK,
MW-0016,Sankaran-Anne Mother Warehouse (MW-0016),Mother Warehouse,Coimbatore,Tamil Nadu,"199, Kadakia Circle, Loni-909526",980347,Manthan Borra,6194715128,11.078666,76.915491,False,OK,
MW-0018,Khatri PLC Mother Warehouse (MW-0018),Mother Warehouse,Chandigarh,Haryana,"H.No. 039, Comar Path, Anantapur-233697",85651,Anvi Aurora,9165070032,30.703531,76.845404,False,CORRECTED,
MW-0019,"Dar, Bose and Ben Mother Warehouse (MW-0019)",Mother Warehouse,Guwahati,Assam,"174, Bhattacharyya Circle, Mathura-882421",612098,Chasmum Thakkar,911672432610,26.180636,91.815333,True,OK,
MW-0020,"Gour, Chandran and Raval Mother Warehouse (MW-0020)",Mother Warehouse,Bhubaneswar,Orissa,"03/204, Thaman Chowk, Ozhukarai 756584",276367,Ijaya Gole,5096623564,20.339182,85.859124,True,CORRECTED,
MW-0021,"Lal, Dyal and Pant Mother Warehouse (MW-0021)",Mother Warehouse,Visakhapatnam,Andhra Pradesh,"00, Sarraf Ganj, Bardhaman-681614",75072,Vamakshi Mohanty,610877157,17.662747,83.159345,True,OK,
MW-0022,Hari-Lata Mother Warehouse (MW-0022),Mother Warehouse,Vadodara,Gujarat,"91, Lanka Chowk, Katni-860130",315893,Girindra Rajagopalan,2480695496,22.240705,73.208734,True,OK,
MW-0023,"Sethi, Cherian and Balasubramanian Mother Warehouse (MW-0023)",Mother Warehouse,Amritsar,Punjab,"17/24, Sinha Circle, Nagercoil 260333",150040,Ekani Lal,7883539553,31.565502,74.891896,True,OK,
MW-0024,"Apte, Yadav and Seshadri Mother Warehouse (MW-0024)",Mother Warehouse,Varanasi,Uttar Pradesh,"67/627, Dewan Chowk, Kamarhati-660957",465151,Qasim Sundaram,916852491672,25.296444,82.945313,True,OK,
MW-0025,"Ramanathan, Hans and Chada Mother Warehouse (MW-0025)",Mother Warehouse,Mangaluru,Karnataka,"H.No. 693, Hora Street, Navi Mumbai 661116",753418,Aadi Dayal,913440934856,12.870058,74.859909,True,OK,
AW-0001,"Bhatia, Mammen and Bhatnagar Additional Warehouse (AW-0001)",Additional Warehouse,Bhopal,Madhya Pradesh,"38, Prabhu Chowk, Coimbatore-160980",346423,Vidhi Boase,7597037803,23.215139,77.346667,True,OK,
AW-0002,Prabhakar Group Additional Warehouse (AW-0002),Additional Warehouse,Lucknow,Uttar Pradesh,"H.No. 293, Bajaj Path, Raebareli 478950",53657,Jhalak Goswami,9987208011,26.911964,81.022875,True,OK,
AW-0003,Loyal-Gupta Additional Warehouse (AW-0003),Additional Warehouse,Kolkata,West Bengal,"20, Sastry Circle, Gulbarga-485973",23328,Oliver Wadhwa,7374387161,22.586872,88.364804,True,OK,
AW-0004,Dara-Singhal Additional Warehouse (AW-0004),Additional Warehouse,Jaipur,Rajasthan,"035, Singh Street, Uluberia 396453",450689,Darika Ratta,914436503102,26.897234,75.821911,True,OK,
AW-0005,"Mannan, Bala and Babu Additional Warehouse (AW-0005)",Additional Warehouse,Hyderabad,Telangana,"52/58, Chauhan Zila, Asansol 546825",95150,Ishita Puri,1800551729,17.314685,78.462576,True,OK,
