dealer_id,city,sale_date,parts_category,units_sold,revenue_inr
DLR-0001,Bengaluru,2020-02-21,Transmission,135,939000
DLR-0001,Bengaluru,2021-04-02,Electrical,387,812000
DLR-0001,Bengaluru,2020-07-28,Brakes,312,970000
DLR-0001,Bengaluru,2022-05-14,Engine Parts,25,1145000
DLR-0001,Bengaluru,2020-07-10,Suspension,129,793000
DLR-0001,Bengaluru,2022-10-31,Engine Parts,297,793000
DLR-0001,Bengaluru,2021-02-11,Filters,122,1156000
DLR-0001,Bengaluru,2022-07-08,Transmission,424,993000
DLR-0001,Bengaluru,2024-11-15,Engine Parts,398,746000
DLR-0001,Bengaluru,2024-07-08,Electrical,367,949000
DLR-0001,Bengaluru,2022-05-15,Body Parts,152,747000
DLR-0001,Bengaluru,2020-11-14,Suspension,500,747000
DLR-0001,Bengaluru,2024-04-12,Body Parts,62,888000
DLR-0001,Bengaluru,2020-07-08,Filters,59,457000
DLR-0001,Bengaluru,2022-01-05,Body Parts,319,495000
DLR-0001,Bengaluru,2021-06-25,Engine Parts,383,728000
DLR-0001,Bengaluru,2022-07-29,Brakes,482,637000
DLR-0001,Bengaluru,2022-02-14,Brakes,292,903000
DLR-0001,Bengaluru,2021-08-23,Body Parts,305,658000
DLR-0001,Bengaluru,2021-01-28,Brakes,33,558000
DLR-0001,Bengaluru,2023-09-16,Suspension,405,1133000
DLR-0002,Bhopal,2020-06-12,Suspension,453,481000
DLR-0002,Bhopal,2020-07-25,Filters,152,519000
DLR-0002,Bhopal,2022-07-17,Body Parts,93,325000
DLR-0002,Bhopal,2022-01-28,Body Parts,117,439000
DLR-0002,Bhopal,2023-10-04,Transmission,369,524000
DLR-0002,Bhopal,2023-10-31,Brakes,321,360000
DLR-0002,Bhopal,2023-07-24,Electrical,283,559000
DLR-0002,Bhopal,2024-02-02,Suspension,93,432000
DLR-0002,Bhopal,2022-08-04,Filters,148,472000
DLR-0002,Bhopal,2023-08-03,Suspension,360,432000
DLR-0002,Bhopal,2021-10-26,Engine Parts,127,751000
DLR-0002,Bhopal,2024-08-10,Engine Parts,422,508000
DLR-0002,Bhopal,2021-10-08,Filters,147,372000
DLR-0002,Bhopal,2020-05-15,Suspension,477,617000
DLR-0002,Bhopal,2023-03-07,Body Parts,118,351000
DLR-0002,Bhopal,2023-09-04,Tyres & Wheels,212,537000
DLR-0002,Bhopal,2024-12-16,Tyres & Wheels,83,255000
DLR-0002,Bhopal,2021-06-26,Electrical,136,337000
DLR-0002,Bhopal,2024-03-05,Transmission,392,536000
DLR-0002,Bhopal,2023-04-12,Filters,469,606000
DLR-0002,Bhopal,2023-04-10,Filters,195,532000
DLR-0002,Bhopal,2021-03-25,Electrical,270,495000
DLR-0002,Bhopal,2022-10-07,Brakes,396,471000
DLR-0002,Bhopal,2020-04-06,Brakes,88,318000
DLR-0003,Chennai,2024-06-10,Filters,315,696000
DLR-0003,Chennai,2020-05-10,Filters,205,748000
DLR-0003,Chennai,2023-05-05,Tyres & Wheels,280,1051000
DLR-0003,Chennai,2021-05-29,Engine Parts,358,909000
DLR-0003,Chennai,2024-01-16,Brakes,359,487000
DLR-0003,Chennai,2024-12-17,Transmission,403,905000
DLR-0003,Chennai,2023-08-05,Body Parts,67,763000
DLR-0003,Chennai,2021-08-24,Filters,90,705000
DLR-0003,Chennai,2022-07-18,Engine Parts,498,962000
DLR-0003,Chennai,2024-01-18,Transmission,266,1046000
DLR-0003,Chennai,2024-04-09,Electrical,269,1026000
DLR-0003,Chennai,2020-08-05,Transmission,440,672000
DLR-0003,Chennai,2023-08-01,Suspension,88,778000
DLR-0003,Chennai,2022-02-04,Electrical,286,906000
DLR-0003,Chennai,2024-05-13,Engine Parts,316,1035000
DLR-0003,Chennai,2021-10-25,Tyres & Wheels,19,744000
DLR-0003,Chennai,2020-08-17,Body Parts,459,803000
DLR-0003,Chennai,2024-08-30,Transmission,132,619000
DLR-0003,Chennai,2020-04-28,Suspension,459,601000
DLR-0003,Chennai,2023-03-07,Brakes,53,1003000
DLR-0003,Chennai,2024-02-07,Tyres & Wheels,427,1111000
DLR-0003,Chennai,2020-05-21,Electrical,75,826000
